epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11459.6,2.02848,7.61103,1.5598,0.58987,0.49217,0.50723,0.1925,2.21907,8.01579,1.68421,0.000848969,0.000848969,0.000848969
43,11732.2,2.03041,7.58383,1.55721,0.59143,0.51678,0.5106,0.19034,2.21023,8.20116,1.69487,0.000834822,0.000834822,0.000834822
44,12000.4,2.01822,7.43683,1.55108,0.58521,0.50259,0.51412,0.19704,2.1901,8.21222,1.68287,0.000820675,0.000820675,0.000820675
45,12274.8,2.03245,7.54875,1.5558,0.59969,0.50426,0.5151,0.19789,2.20983,7.78712,1.6964,0.000806528,0.000806528,0.000806528
46,12542.4,2.02541,7.47674,1.55183,0.59451,0.51184,0.5195,0.19749,2.1832,7.89548,1.66596,0.00079238,0.00079238,0.00079238
47,12813.3,2.02191,7.47857,1.54681,0.60181,0.5091,0.51829,0.19773,2.19948,7.85474,1.6934,0.000778233,0.000778233,0.000778233
48,13081.8,2.0134,7.38929,1.54638,0.59096,0.50538,0.52121,0.19691,2.19899,7.95186,1.68031,0.000764086,0.000764086,0.000764086
49,13356,2.01552,7.44895,1.554,0.59629,0.51624,0.52516,0.19647,2.20759,7.82975,1.69696,0.000749939,0.000749939,0.000749939
50,13622.7,2.00321,7.41852,1.54596,0.58379,0.50751,0.51473,0.19756,2.19179,8.04928,1.67825,0.000735792,0.000735792,0.000735792
51,13897.2,2.01635,7.39697,1.55276,0.60491,0.50288,0.52392,0.20545,2.17786,7.77973,1.67501,0.000721645,0.000721645,0.000721645
52,14166.9,2.00867,7.38095,1.54021,0.58947,0.50878,0.51161,0.19484,2.19596,7.99726,1.66997,0.000707498,0.000707498,0.000707498
53,14435.3,2.00233,7.21798,1.5347,0.58171,0.51048,0.5124,0.19588,2.20121,8.19458,1.68927,0.000693351,0.000693351,0.000693351
54,14705.2,2.01288,7.3186,1.53635,0.61336,0.53417,0.53668,0.20889,2.1835,7.70329,1.67144,0.000679204,0.000679204,0.000679204
55,14974.1,1.99765,7.29113,1.53806,0.61328,0.52292,0.5218,0.20111,2.18683,7.8085,1.67583,0.000665057,0.000665057,0.000665057
56,15244.6,2.00755,7.26433,1.53223,0.60138,0.51622,0.52379,0.20178,2.17985,7.84387,1.6638,0.000650909,0.000650909,0.000650909
57,15511.1,1.98983,7.2276,1.53424,0.60706,0.52101,0.5244,0.20374,2.17973,7.85453,1.67973,0.000636762,0.000636762,0.000636762
58,15777.5,1.99482,7.22671,1.53305,0.60392,0.52682,0.52803,0.20667,2.18481,7.61982,1.67571,0.000622615,0.000622615,0.000622615
59,16048.3,1.99945,7.18603,1.53609,0.60314,0.52444,0.52564,0.19808,2.20112,7.75164,1.68702,0.000608468,0.000608468,0.000608468
60,16316.8,1.99475,7.19606,1.53385,0.60617,0.5267,0.52637,0.20071,2.21173,7.81255,1.68558,0.000594321,0.000594321,0.000594321
61,16585.3,1.99214,7.11519,1.52344,0.6059,0.50643,0.52353,0.20607,2.21078,7.74976,1.6838,0.000580174,0.000580174,0.000580174
62,16859.5,1.98716,7.13365,1.52439,0.62296,0.5225,0.53977,0.20653,2.20594,7.64857,1.68892,0.000566027,0.000566027,0.000566027
63,17132.9,1.99438,7.15324,1.53025,0.59404,0.52973,0.53632,0.20589,2.21081,7.7276,1.69648,0.00055188,0.00055188,0.00055188
64,17400.7,1.9813,7.08714,1.51897,0.60999,0.5337,0.54591,0.20955,2.19871,7.65976,1.68804,0.000537733,0.000537733,0.000537733
65,17670.1,1.987,7.08568,1.52883,0.62048,0.52186,0.54131,0.21179,2.19594,7.647,1.68213,0.000523586,0.000523586,0.000523586
66,17939,1.97735,7.01072,1.5232,0.61877,0.52991,0.53829,0.20427,2.20107,7.66761,1.68652,0.000509438,0.000509438,0.000509438
67,18206.8,1.97724,7.00413,1.51915,0.60955,0.53343,0.54291,0.20793,2.19306,7.64198,1.68282,0.000495291,0.000495291,0.000495291
68,18479.2,1.97347,6.89919,1.51413,0.62107,0.52895,0.5402,0.20906,2.19094,7.62894,1.68606,0.000481144,0.000481144,0.000481144
69,18747.7,1.97415,7.0133,1.52088,0.61803,0.53852,0.54183,0.20853,2.20347,7.61586,1.6934,0.000466997,0.000466997,0.000466997
70,19021.6,1.9771,6.91385,1.51489,0.61908,0.53057,0.54,0.20688,2.20783,7.63779,1.68882,0.00045285,0.00045285,0.00045285
71,19296.2,1.97998,6.93319,1.51594,0.64057,0.50764,0.53988,0.20824,2.20914,7.64629,1.69211,0.000438703,0.000438703,0.000438703
72,19565.6,1.96666,6.89118,1.51009,0.62084,0.52711,0.54669,0.21277,2.18947,7.65711,1.67443,0.000424556,0.000424556,0.000424556
73,19834.3,1.97406,6.91268,1.52,0.63637,0.51788,0.54138,0.21097,2.19673,7.62751,1.67301,0.000410409,0.000410409,0.000410409
74,20109.8,1.97158,6.91713,1.5117,0.63652,0.53434,0.55221,0.21568,2.18971,7.58853,1.67738,0.000396262,0.000396262,0.000396262
75,20382.2,1.95985,6.87013,1.50618,0.63049,0.53176,0.54849,0.21429,2.20906,7.56982,1.69038,0.000382115,0.000382115,0.000382115
76,20651.5,1.95329,6.82559,1.50427,0.62762,0.53493,0.55123,0.21525,2.20265,7.62178,1.68708,0.000367967,0.000367967,0.000367967
77,20926.3,1.95903,6.78937,1.50886,0.62934,0.54775,0.54845,0.21419,2.20303,7.56373,1.68488,0.00035382,0.00035382,0.00035382
78,21198.7,1.96628,6.85037,1.50718,0.65181,0.51428,0.55015,0.21464,2.20317,7.54613,1.68302,0.000339673,0.000339673,0.000339673
79,21465.9,1.9543,6.69293,1.499,0.62658,0.53912,0.55162,0.21896,2.19701,7.48546,1.68252,0.000325526,0.000325526,0.000325526
80,21738.9,1.94567,6.70169,1.50033,0.60243,0.54147,0.54102,0.21182,2.20052,7.56985,1.68478,0.000311379,0.000311379,0.000311379
81,22001.6,1.95009,6.67538,1.49935,0.61172,0.54868,0.55161,0.21304,2.20058,7.58718,1.68458,0.000297232,0.000297232,0.000297232
